teamNumber,matchNumber,avgHopperShotTime,avgKeyShotTime,didBecomeIncapacitated,didLiftoff,didStartDisabled,disfunctionalPercentage,drivingAbility,liftoffAbility,liftoffTime,lowShotTimesForBoilerAuto,lowShotTimesForBoilerTele,numGearsEjectedTele,numGearsFumbledTele,numGearsPlacedAuto,numGearsPlacedTele,numGroundGearIntakesTele,numHighShotsAuto,numHighShotsTele,numHoppersUsedAuto,numHoppersUsedTele,numHumanGearIntakesTele,numLowShotsAuto,numLowShotsTele,numRPs,rankAgility,rankBallControl,rankDefense,rankGearControl,rankSpeed,scoutName,superNotes,wasDisfunctional
9159,51,3.6666666666666665,,False,False,True,1.0,,0,0,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': 'Other  ', 'numShots': 0, 'time': 0}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Louise', 'Calvin', 'Amanda']",disabled,True
4171,14,,,False,True,False,0.0,,50,6.997666666666667,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0,0,2,0,0,0,0,0,1,0,0,4,2,0,0,2,2,"['Kenny', 'saif', 'Jack']",,False
9817,65,5.166666666666666,8.599999999999998,False,False,False,0.0,,0,0,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,"['Ayush', 'Astha', 'Nick']","started climb, failed",False
2659,33,,,False,True,False,0.0,,50,9.667,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,2,0,5,6,0,0,0,0,0,0,0,2,3,0,0,1,2,['Noemi'],,False
3303,62,4.0,7.416666666666668,True,False,False,0.5,,0,0,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0,0,1,0,9.160194174757281,27.88470873786408,0,0,0,0.0,0.0,1,1,0,0,1,1,"['Zoravar', 'Astha', 'Kate']",,True
1671,34,4.5,,False,True,False,0.0,,50,7.249666666666666,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,1,0,2,0,2.9547738693467336,7.507537688442211,0,0,3,0.0,0.0,0,3,0,0,3,3,"['Amanda', 'Ellie', 'Tim']",,False
3482,37,,8.0,False,False,False,0.0,,0,0,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,"['Aidan', 'Gemma', 'Louise']",fell off,False
1671,37,,,False,True,False,0.0,,50,4.928333333333334,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,1,0,3,0,0.0,0.0,0,0,3,0.0,0.0,2,3,0,0,3,2,"['Caroline', 'Teo', 'Astha']",climbed,False
5700,13,,,False,False,False,0.0,,0,0,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,2,1.0,3,4,0,0,0,0,0,0,0,0,2,0,0,3,3,"['Caroline', 'Nathan']",,False
5700,17,,,False,False,True,1.0,,0,0,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,2,0,0,0,0,0,"['Nick', 'Michael', 'Noah']",,True
9171,61,5.5,10.333333333333334,False,False,False,0.0,,0,0,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,"['Aidan', 'Teo', 'Kenny']",could not attach to rope,False
2135,54,,,False,True,False,0.0,,50,11.637666666666666,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0,1,3,0,0,0,0,0,3,0,0,1,3,0,0,3,2,"['Anoushka', 'Kate', 'Ellie']","fell, made the climb, fell as soon as the match ended",False
8678,8,,,False,False,False,0.0,,0,0,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,3,0,0,1,3,"['Anoushka', 'Jack', 'Zoravar']",,False
8817,19,,,False,False,False,0.0,,0,0,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,1,1,['Jack'],unable to ascend,False
8971,65,,8.0,True,False,False,0.5,,0,0,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,"['Noemi', 'Ellie', 'David']",not there,True
9104,54,13.0,,False,False,False,0.0,,0,0,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,1,0,3,3,0,0,0,0,0,0,0,1,1,0,0,2,2,"['Louise', 'Astha']",didn't climb,False
5012,41,,,False,False,False,0.0,,0,0,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0.5,0,0.5,0.5,0.0,0.0,0,0.5,0,0.0,0.0,0,3,0,0,1,1,"['Teo', 'Caroline']",didn't climb,False
9678,63,,5.083333333333334,False,True,False,0.0,,50,4.607,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0,1,3,3,8.463220675944333,9.318091451292247,0,0,0,0.0,0.0,3,2,2,0,2,3,"['Noah', 'David', 'Zoravar']",climbed,False
5104,48,,,False,True,False,0.0,,50,7.096,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,2,0,0,0,0,0,0,0,2,0,0,0,3,0,3,3,2,['Caroline'],climbed,False
1671,22,,,False,False,False,,,,0,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,2,,,0,,,1,0,2,,,,,,,,,['Gemma'],,
9671,25,,,False,True,False,,,,2.27,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,1,,,3,,,0,0,0,,,,,,,,,['Noah'],,
6657,13,,,False,False,False,0.0,,0,0,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,1,0,1,0,0,0,0,0,1,0,0,3,1,0,3,1,1,['Amanda'],,False
6305,27,,,False,False,False,,,,0,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0,,,0,,,0,0,0,,,,,,,,,"['Nathan', 'Jack', 'Anoushka']",,
