team,home championship,,,
2345,St. Louis,,,
2346,St. Louis,,,
2347,St. Louis,,,
2352,Houston,,,
2353,St. Louis,,,
2354,Houston,,,
2357,St. Louis,,,
2358,St. Louis,,,
2359,Houston,,,
2363,St. Louis,,,
2367,Houston,,,
2370,St. Louis,,,
2373,Houston,,,
2374,Houston,,,
2375,Houston,,,
2377,St. Louis,,,
2383,Houston,,,
2386,St. Louis,,,
2388,Houston,,,
2393,Houston,,,
2395,Houston,,,
2398,Houston,,,
2399,St. Louis,,,
2403,Houston,,,
2404,Houston,,,
2405,St. Louis,,,
2408,St. Louis,,,
2410,St. Louis,,,
2411,Houston,,,
2412,Houston,,,
2415,Houston,,,
2421,St. Louis,,,
2423,St. Louis,,,
2424,Houston,,,
2425,Houston,,,
2429,Houston,,,
2437,Houston,,,
2438,Houston,,,
2439,Houston,,,
2441,Houston,,,
2443,Houston,,,
2444,Houston,,,
2445,Houston,,,
2449,Houston,,,
2450,St. Louis,,,
2451,St. Louis,,,
2457,St. Louis,,,
2458,St. Louis,,,
2461,Houston,,,
2465,Houston,,,
2468,Houston,,,
2470,St. Louis,,,
2471,Houston,,,
2472,St. Louis,,,
2473,Houston,,,
2474,St. Louis,,,
2477,Houston,,,
2478,Houston,,,
2480,St. Louis,,,
2481,St. Louis,,,
2484,Houston,,,
2485,Houston,,,
2486,Houston,,,
2487,St. Louis,,,
2489,Houston,,,
2491,St. Louis,,,
2493,Houston,,,
2495,St. Louis,,,
2496,Houston,,,
2498,St. Louis,,,
2499,St. Louis,,,
2500,St. Louis,,,
2501,St. Louis,,,
2502,St. Louis,,,
2503,St. Louis,,,
2504,Houston,,,
2506,St. Louis,,,
2508,St. Louis,,,
2509,St. Louis,,,
2511,St. Louis,,,
2512,St. Louis,,,
2513,St. Louis,,,
2515,St. Louis,,,
2518,St. Louis,,,
2521,Houston,,,
2522,Houston,,,
2523,St. Louis,,,
2525,St. Louis,,,
2526,St. Louis,,,
2529,St. Louis,,,
2530,St. Louis,,,
2531,St. Louis,,,
2532,St. Louis,,,
2534,St. Louis,,,
2537,St. Louis,,,
2538,St. Louis,,,
2539,St. Louis,,,
2543,Houston,,,
2544,St. Louis,,,
2545,St. Louis,,,
2549,St. Louis,,,
2550,Houston,,,
2551,Houston,,,
2554,St. Louis,,,
2555,Houston,,,
2556,Houston,,,
2557,Houston,,,
2559,St. Louis,,,
2560,St. Louis,,,
